REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,MATRÍCULA
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,05537 - CRISTO DE LOS MILAGROS,05537,105
03 - AZUA,0301 - AZUA,13524 - SAGRADO CORAZON DE JESUS,13524,106
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,05510 - NUESTRA SEÑORA DE LA ALTAGRACIA,05510,106
10 - SANTO DOMINGO,1006 - MENDOZA,05657 - KELBYN OBREROS DE PAZ,05657,106
07 - SAN FRANCISCO DE MACORIS,0707 - VILLA TAPIA,07779 - CENTRO DE EDUCACION Y PROMOCION RURAL (CEPROR),07779,108
08 - SANTIAGO,0807 - VILLA BISONO (NAVARRETE),14969 - POLITECNICO PROF. MIGUEL ANGEL GUZMAN,14969,108
18 - BAORUCO,1804 - JIMANI,06876 - POLITECNICO MAXIMO GOMEZ,06876,108
18 - BAORUCO,1804 - JIMANI,06888 - POLITECNICO JOSE DOLORES VASQUEZ PEÑA,06888,108
16 - COTUI,1605 - PIEDRA BLANCA,09079 - POLITECNICO CACIQUE DON FRANCISCO BONAO,09079,109
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08146 - EVANGELICO LUCILLE RUPP,08146,111
06 - LA VEGA,0606 - MOCA,"15663 - POLITECNICO MARIA AUXILIADORA, (FMA SALESIANAS)",15663,111
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,05084 - INSTITUTO SAN JUAN BAUTISTA,05084,111
15 - SANTO DOMINGO,1505 - HERRERA,05961 - UTESIANO DE ESTUDIOS INTEGRADOS-CUEI-UTESA,05961,111
01 - BARAHONA,0105 - VICENTE NOBLE,06495 - POLITECNICO HILDA DOTEL FLORIAN,06495,113
06 - LA VEGA,0605 - LA VEGA ESTE,07179 - CARDENAL SANCHA,07179,113
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,05220 - COLEGIO CATOLICO SANTIAGO APOSTOL,05220,113
13 - MONTE CRISTI,1301 - MONTE CRISTI,07387 - INSTITUTO POLITECNICO SAN JOSE,07387,115
15 - SANTO DOMINGO,1505 - HERRERA,04957 - INSTITUTO OLIMPO RAMON,04957,115
14 - NAGUA,1402 - CABRERA,07354 - POLITECNICO DOMINGO ANTONIO TEJADA,07354,116
06 - LA VEGA,0605 - LA VEGA ESTE,07265 - EXPERIMENTAL UNPHU,07265,118
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08623 - FAUSTO JIMENEZ,08623,118
10 - SANTO DOMINGO,1001 - VILLA MELLA,"15567 - POLITECNICO EL AVE MARIA, PADRE MIGUEL FENOLLERA ROCA",15567,119
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,"09286 - CENTRO EDUCATIVO DE ESTUDIOS GENERALES Y SERVICIOS, CEGES",09286,119
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,08224 - POLITECNICO JINOVA,08224,120
07 - SAN FRANCISCO DE MACORIS,0705 - SAN FRANCISCO DE MACORIS SUR-E,06583 - POLITECNICO MANUEL MARIA CASTILLO,06583,122
01 - BARAHONA,0105 - VICENTE NOBLE,06498 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),06498,123
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,15543 - JUAN PABLO DUARTE DIEZ,15543,124
02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,08165 - POLITECNICO PEDRO CORTO,08165,125
08 - SANTIAGO,0806 - SANTIAGO NORESTE,15445 - POLITECNICO PROF. ANA GLORIA DE LA CRUZ DE ESTRELLA,15445,125
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,05023 - COLEGIO SABIDURIA Y BALUARTE (COSABA),05023,127
14 - NAGUA,1405 - SANCHEZ,07814 - POLITECNICO PROF. GLORIA MARIA CALCAÑO CALCAÑO,07814,128
06 - LA VEGA,0604 - LA VEGA OESTE,14286 - POLITECNICO MIGUEL ANGEL IBAÑEZ,14286,129
16 - COTUI,1607 - VILLA LA MATA,08442 - POLITECNICO PROF. JUAN FRANCISCO ALFONSECA,08442,130
14 - NAGUA,1405 - SANCHEZ,07825 - POLITECNICO JOSE LUIS HILARIO BONE,07825,133
15 - SANTO DOMINGO,1501 - LOS ALCARRIZOS,04962 - TECNICO LA REDENCION DE PANTOJA,04962,133
07 - SAN FRANCISCO DE MACORIS,0705 - SAN FRANCISCO DE MACORIS SUR-E,06617 - POLITECNICO PEDRO FRANCISCO BONO,06617,134
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,14496 - POLITECNICO MARIANO DE JESUS SABA,14496,136
06 - LA VEGA,0602 - CONSTANZA,07172 - ALEGRIA,07172,136
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11681 - POLITECNICO MAX SIMON,11681,140
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08210 - POLITECNICO VALLEJUELO,08210,142
06 - LA VEGA,0610 - JIMA ABAJO,07257 - POLITECNICO REVERENDO ANDRES AMENGUAL FE Y ALEGRIA,07257,144
01 - BARAHONA,0102 - ENRIQUILLO,06488 - POLITECNICO PARAISO,06488,146
12 - HIGUEY,1203 - EL SEIBO,06747 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,06747,146
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,08214 - CRISTIANO DE EDUCACION PARA EL DESARROLLO,08214,147
02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,13495 - POLITECNICO SAN ANDRES,13495,147
02 - SAN JUAN DE LA MAGUANA,0202 - PEDRO SANTANA,06720 - POLITECNICO SAN FRANCISCO DE ASIS,06720,148
14 - NAGUA,1404 - SAMANA,07798 - POLITECNICO MANUELA MULLIX FERMIN,07798,148
17 - MONTE PLATA,1701 - YAMASA,14367 - POLITECNICO JOSE DE LA LUZ GUILLEN,14367,148
08 - SANTIAGO,0808 - LICEY AL MEDIO,08782 - POLITECNICO PROF. MILAGROS CELESTE ARIAS,08782,149
06 - LA VEGA,0603 - JARABACOA,07294 - EXPERIMENTAL FERNANDO ARTURO DE MERIÑO,07294,150
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,06319 - POLITECNICO SANTA CLARA DE ASIS,06319,152
15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE,13109 - POLITECNICO MARILLAC,13109,152
07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,11187 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,11187,153
03 - AZUA,0303 - SAN JOSE DE OCOA,07507 - POLITECNICO WILLIAM RADHAMES ENCARNACION MEJIA,07507,154
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07960 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,07960,159
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,05885 - MARANATHA DE DOÑA GLADYS,05885,160
14 - NAGUA,1401 - NAGUA,15306 - POLITECNICO PROF. SAMUEL NOEL BRITO BRUNO,15306,160
18 - BAORUCO,1803 - VILLA JARAGUA,06430 - POLITECNICO HUMBERTO RECIO,06430,161
02 - SAN JUAN DE LA MAGUANA,0207 - HONDO VALLE,06729 - POLITECNICO NUESTRA SEÑORA DEL ROSARIO DE FATIMA,06729,162
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,16384 - POLITECNICO SALESIANO SAGRADO CORAZON DE JESUS,16384,162
06 - LA VEGA,0603 - JARABACOA,15661 - POLITECNICO NUESTRA SEÑORA DE LA ALTAGRACIA (FMA SALESIANAS),15661,164
07 - SAN FRANCISCO DE MACORIS,0702 - SALCEDO,07746 - POLITECNICO NUESTRA SEÑORA DEL SAGRADO CORAZON,07746,166
15 - SANTO DOMINGO,1501 - LOS ALCARRIZOS,13400 - POLITECNICO FEDERICO HENRIQUEZ Y CARVAJAL,13400,166
06 - LA VEGA,0605 - LA VEGA ESTE,07180 - COLEGIO EUGENIO MARIA DE HOSTOS,07180,167
16 - COTUI,1604 - BONAO SUROESTE,09020 - POLITECNICO LOS HEROES,09020,169
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08773 - POLITECNICO CRISTIANO AMANECER,08773,170
06 - LA VEGA,0610 - JIMA ABAJO,07256 - POLITECNICO ANA SILVIA JIMENEZ DE CASTRO,07256,171
10 - SANTO DOMINGO,1002 - SABANA PERDIDA,05832 - LOS PALMARES,05832,171
06 - LA VEGA,0605 - LA VEGA ESTE,07175 - POLITECNICO DON PEPE ALVAREZ,07175,172
17 - MONTE PLATA,1703 - BAYAGUANA,09126 - POLITECNICO MORAYMA VELOZ DE BAEZ,09126,172
15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE,05045 - COLEGIO PREUNIVERSITARIO DR. LUIS ALFREDO DUVERGE MEJIA - UNPHU,05045,174
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,12169 - POLITECNICO VITALINA GALLARDO DE ABINADER,12169,175
04 - SAN CRISTOBAL,0406 - HAINA,07897 - JUAN BAUTISTA CAMBIASO,07897,176
06 - LA VEGA,0604 - LA VEGA OESTE,11105 - POLITECNICO SAN IGNACIO DE LOYOLA FE Y ALEGRIA,11105,178
18 - BAORUCO,1804 - JIMANI,06884 - POLITECNICO PROF. JUAN RUPERTO POLANCO,06884,179
15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,05304 - POLITECNICO SAN JUAN BAUTISTA DE LA SALLE,05304,182
06 - LA VEGA,0606 - MOCA,06864 - POLITECNICO EL AVE MARIA,06864,183
15 - SANTO DOMINGO,1506 - PEDRO BRAND,05795 - POLITECNICO JOSE MANUEL BURET TAVERAS,05795,183
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,14231 - POLITECNICO PROF. RAMONA ALTAGRACIA TEJADA MARTE,14231,184
